id	ev	nyert	magyar	cim	bemutato
179	1928	1	Szárnyak	Wings	
330	1928	0	A hetedik mennyország	7th Heaven	
468	1928	0	A bűnbanda	The Racket	
236	1929	0		In Old Arizona	
302	1929	0	Alibi	Alibi	
419	1929	1	Broadway Melody	The Broadway Melody	1930.02.20
446	1929	0	Ez Hollywood	The Hollywood Revue of 1929	1930.01.21
536	1929	0		The Patriot	
1	1930	0	Örök szerelem	The Love Parade	1930.10.03
170	1930	1	Nyugaton a helyzet változatlan	All Quiet on the Western Front	
318	1930	0		The Big House	
473	1930	0		The Divorcee	1932.01.01
477	1930	0		Disraeli	
88	1931	0	Címlapsztori	The Front Page	
217	1931	0		Skippy	
229	1931	0		East Lynne	
344	1931	0		Trader Horn	
533	1931	1		Cimarron	
108	1932	0	A mosolygó hadnagy	The Smiling Lieutenant	1931.10.10
118	1932	1	Grand Hotel	Grand Hotel	
156	1932	0	Shanghai Express	Shanghai Express	1932.03.11
163	1932	0	A bajnok	The Champ	
281	1932	0		Five Star Final	
399	1932	0	Édes pásztoróra	One Hour with You	1932.04.21
470	1932	0	Rossz lány	Bad Girl	
512	1932	0		Arrowsmith	1934.04.26
19	1933	0	VIII. Henrik magánélete	The Private Life of Henry VIII	1934.02.14
44	1933	0	Fiatal asszonyok	Little Women	1934.02.14
143	1933	0		State Fair	
159	1933	0		Smilin' Through	1933.12.11
215	1933	0	Lady egy napra	Lady for a Day	1934.03.18
336	1933	0	Búcsú a fegyverektől	A Farewell to Arms	1933.08.26
338	1933	0	42. utca foglya	42nd Street	
411	1933	0		She Done Him Wrong	
424	1933	0	Szökevény vagyok	I Am a Fugitive from a Chain Gang	1933.04.15
457	1933	1	Kavalkád	Cavalcade	1933.11.29
31	1934	0	Látszatélet	Imitation of Life	1935.03.04
95	1934	0	Jönnek a tengerészek	Here Comes The Navy	1935.04.11
102	1934	0	Csak nekem dalolj	One Night of Love	1934.11.09
136	1934	1	Ez történt egy éjszaka	It Happened One Night	1935.01.10
226	1934	0	Cleopatra	Cleopatra	1934.11.22
306	1934	0		Flirtation Walk	1935.04.18
312	1934	0	A cingár férfi/Tetemrehívás	The Thin Man	1935.03.19
345	1934	0	Continental	The Gay Divorcee	1935.10.03
369	1934	0	Asszonyok fehérben	The White Parade	1935.05.08
414	1934	0	A Wimpole Street-i Barrettek	The Barretts of Wimpole Street	1935.04.04
499	1934	0		The House of Rothschild	
527	1934	0	Viva Villa	Viva Villa!	1934.12.25
3	1935	0	A hindu lándzsás	The Lives of a Bengal Lancer	1935.04.05
24	1935	0	Blood kapitány	Captain Blood	1936.02.27
25	1935	0	A besúgó	The Informer	
132	1935	0	Broadway Melody	Broadway Melody of 1936	1936.01.10
153	1935	1	Lázadás a Bountyn	Mutiny on the Bounty	1936.03.05
172	1935	0		Ruggles of Red Gap	1935.10.10
