filmid	keszitoid
500	279
270	326
18	176
141	294
526	228
234	457
20	557
115	475
222	167
271	129
97	211
234	351
191	529
374	376
406	173
97	504
25	250
288	216
114	41
137	285
148	347
526	303
161	97
73	96
393	417
281	188
296	209
48	497
441	8
40	279
156	27
303	118
313	342
321	279
169	68
66	434
456	479
492	127
459	517
462	526
332	370
77	304
447	138
242	345
9	274
83	422
354	180
115	410
255	123
28	170
559	335
203	349
435	370
455	397
16	422
511	379
286	116
418	395
291	441
368	381
45	63
347	127
556	370
219	6
5	384
224	287
2	174
196	431
451	547
322	555
248	122
365	279
86	496
104	83
498	413
174	356
441	102
245	343
232	354
540	186
300	121
270	49
161	452
185	275
549	350
483	416
264	482
199	242
509	251
145	107
205	40
256	222
448	292
257	7
512	276
99	561
57	265
456	463
305	422
233	416
201	447
219	314
429	50
513	51
157	548
159	279
198	23
477	370
326	452
211	63
557	276
299	521
405	536
338	370
230	247
315	515
233	532
95	370
463	270
336	54
371	25
195	213
189	262
428	279
10	350
497	90
199	497
423	66
439	127
534	71
301	418
152	103
33	8
509	46
261	54
249	430
354	473
11	351
382	11
325	176
285	115
563	165
117	398
324	307
32	489
196	426
27	456
62	161
341	22
197	435
200	166
515	276
227	77
283	66
19	256
233	473
531	319
279	243
394	311
502	514
430	404
107	495
312	279
447	368
115	265
277	370
144	250
560	424
464	291
237	213
501	483
99	455
375	48
286	474
524	250
280	264
107	278
552	553
49	340
543	397
210	370
340	411
466	194
356	417
315	268
15	370
217	27
475	277
58	516
63	396
93	378
71	430
90	36
529	127
213	334
300	356
474	169
92	279
486	263
534	111
311	362
475	459
194	124
487	68
73	266
434	191
115	511
243	224
152	229
282	82
82	76
237	143
68	418
440	94
36	422
319	334
528	492
71	63
80	379
542	120
350	298
402	485
417	89
222	533
404	101
540	31
541	139
350	214
80	168
533	250
69	394
508	422
79	479
487	225
17	500
1	409
294	324
395	130
288	301
316	314
195	243
301	20
274	370
440	530
292	108
433	254
369	93
61	480
251	552
136	417
445	370
13	313
74	112
508	66
530	543
370	151
358	315
65	109
314	279
517	63
99	243
437	174
238	164
125	525
423	335
381	52
28	30
434	360
507	466
307	279
441	388
216	279
253	545
535	60
292	508
425	399
45	45
354	367
196	539
394	412
405	423
218	189
241	257
111	430
422	396
30	296
460	146
122	187
294	8
204	235
133	79
475	412
64	428
151	26
89	185
77	123
35	383
140	252
64	459
278	465
24	500
85	176
454	370
527	279
128	209
211	142
71	113
94	335
562	446
547	88
233	192
352	190
426	397
153	279
397	335
372	139
495	218
132	279
47	279
404	213
343	201
260	525
166	3
188	239
42	322
353	289
96	371
292	156
413	335
480	54
483	473
391	54
504	18
505	453
561	369
54	9
212	155
523	417
366	370
151	544
70	276
279	213
72	222
190	276
344	279
28	364
287	397
493	279
2	335
35	85
33	84
443	415
516	363
417	320
324	231
198	375
109	338
517	34
7	419
178	432
202	420
346	103
520	73
340	305
21	198
458	54
471	19
462	53
357	243
38	436
494	279
436	10
173	279
519	518
383	42
424	370
520	357
175	141
130	279
401	366
364	24
519	195
65	282
334	58
322	205
546	28
251	285
357	534
237	243
3	54
442	100
313	179
97	421
544	488
350	98
293	74
448	105
330	91
52	478
390	512
520	72
275	417
371	538
231	63
489	100
487	333
560	510
373	206
376	279
266	239
56	558
67	54
311	518
259	548
457	91
251	236
350	152
532	453
438	506
200	280
484	190
537	527
240	63
14	507
385	209
22	276
359	250
75	37
110	193
519	249
526	352
230	335
83	34
370	401
134	279
303	348
407	337
345	250
327	222
58	190
212	103
298	100
163	279
91	76
230	66
289	543
109	391
450	417
384	417
184	406
335	130
228	114
28	283
561	78
197	268
525	365
459	408
311	249
514	210
227	345
367	397
418	487
402	527
446	279
64	56
123	414
343	160
104	546
406	238
399	27
220	309
368	171
528	258
516	323
4	160
251	312
394	437
553	464
491	127
212	152
407	70
487	517
169	402
29	420
294	102
115	152
38	535
139	141
383	199
324	2
331	279
507	63
191	302
162	383
554	543
14	193
164	370
180	154
363	359
169	13
114	361
272	279
158	106
476	245
262	207
161	204
209	383
151	330
124	126
413	498
485	35
411	54
90	245
211	547
309	253
333	103
478	240
497	298
478	527
112	75
532	273
182	279
150	443
419	279
254	279
204	158
186	196
255	304
227	233
155	439
346	147
451	102
178	334
499	262
534	347
191	433
482	198
558	86
33	324
215	417
553	389
196	110
380	29
360	119
26	245
513	460
108	27
453	314
170	259
452	377
368	195
388	62
36	335
222	65
218	145
165	259
146	461
349	383
562	133
326	152
236	91
469	417
46	54
486	369
464	353
361	417
506	250
143	91
438	248
417	310
33	87
444	406
155	59
302	39
397	527
258	370
244	160
120	521
357	213
341	125
267	279
456	543
5	335
6	490
278	260
174	286
58	162
406	95
555	451
517	547
516	324
362	269
341	339
113	43
85	38
441	325
315	421
387	255
123	448
407	459
284	63
319	558
473	279
174	540
563	468
187	151
222	372
241	6
48	242
385	523
521	429
309	153
98	373
55	382
137	312
478	485
297	560
147	140
417	549
59	48
36	440
223	64
448	550
135	403
198	502
540	300
280	134
522	318
265	196
397	485
468	81
486	223
339	397
403	519
318	500
57	390
201	470
106	505
62	386
246	374
39	43
416	397
23	370
323	135
183	376
213	486
248	450
382	134
516	385
476	2
462	503
481	100
357	561
56	432
497	16
387	1
247	397
409	177
264	95
528	405
288	63
181	250
400	299
242	226
41	553
386	373
151	321
109	267
65	172
107	2
466	476
485	246
540	520
145	232
