id	nev	producer
1	John Brabourne	1
2	David Brown	1
3	Jonas Rivera	1
4	Peter Yates	1
5	Robert Alan Aurthur	1
6	Patrick J. Palmer	1
7	Joseph Janni	1
8	Jeremy Kleiner	1
9	Marvin Worth	1
10	Frank Ross	1
11	James Woolf	1
12	Arthur Hornblow Jr.	1
13	Jon Kilik	1
14	Argosy-Wanger	0
15	Anthony Minghella	1
16	James Mangold	1
17	Ralph Nelson	1
18	Jim Sheridan	1
19	Aaron Rosenberg	1
20	Ben Affleck	1
21	Bob Balaban	1
22	Alain Sarde	1
23	Marc Platt	1
24	Jerry Wald	1
25	John Roberdeau	1
26	Brian Currie	1
27	Paramount Publix	0
28	Duncan Kenworthy	1
29	Patrick Palmer	1
30	Michael Schaefer	1
31	Marco Morabito	1
32	Michael Jacobs	1
33	Jeffrey Levy-Hinte	1
34	Ceán Chaffin	1
35	Edward Saxon	1
36	Lili Fini Zanuck	1
37	Michael London	1
38	Alan Marshall	1
39	Feature Productions	0
40	Paul Newman	1
41	Gray Frederickson	1
42	Lee Daniels	1
43	Ray Stark	1
44	Martin Bregman	1
45	Jeremy Dawson	1
46	Gianluigi Braschi	1
47	Gabrielle Tana	1
48	Michael Shamberg	1
49	Stanley R. Jaffe	1
50	Jonathan Sanger	1
51	Michael Sugar	1
52	Cy Feuer	1
53	Dan Levine	1
54	Paramount	0
55	Charles H. Joffe	1
56	Robert De Niro	1
57	Bill Miller	1
58	Oliver Stone	1
59	Walt Disney	1
60	Lawrence Weingarten	1
61	Joey McFarland	1
62	Melvin Frank	1
63	Scott Rudin	1
64	Liberty Films	0
65	Barry Spikings	1
66	Kathleen Kennedy	1
67	Peter Saraf	1
68	Steve Golin	1
69	Walter Mirisch	1
70	Leonardo DiCaprio	1
71	Ceci Dempsey	1
72	Samuel Goldwyn Jr.	1
73	Duncan Henderson	1
74	Martin Brest	1
75	Kevin Feige	1
76	Harold Hecht	1
77	Andy Harries	1
78	Noah Baumbach	1
79	Carlo Ponti	1
80	Ron Yerxa	1
81	The Caddo Company	0
82	David Permut	1
83	Richard Sakai	1
84	Kevin Messick	1
85	Gary Kurtz	1
86	Robert F. Colesberry	1
87	Adam McKay	1
88	Uberto Pasolini	1
89	Michael Katz	1
90	Jenno Topping	1
91	Fox	0
92	Rachel Winter	1
93	Jesse L. Lasky	0
94	David T. Friendly	1
95	Emile Sherman	1
96	Herbert Ross	1
97	Charles Roven	1
98	Pharrell Williams	1
99	David Weisman	1
100	Selznick International Pictures	0
101	Ron Howard	1
102	Brad Pitt	1
103	Sydney Pollack	1
104	Philip S. Hobel	1
105	Mark Wahlberg	1
