date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:22	35904/35904	---M-Z	200	added ('OK')	text/html	etag:%228c40-51dfbf5cdaca2-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/index.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/index.html	(from )
21:33:22	294/294	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2020:33:21%20GMT	https://gyires.inf.unideb.hu/robots.txt		(from )
21:33:23	11459/11459	---M-Z	200	added ('OK')	text/css	etag:%222cc3-51d451af65839-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/style.css	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/style.css	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:23	6261/6261	---M-Z	200	added ('OK')	text/html	etag:%221875-51d69e60df800-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/ch01.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/ch01.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:23	19345/19345	---M--	200	added ('OK')	image/png	etag:%224b91-51d55ab07951a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/uszt_logo.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/uszt_logo.png	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:23	23560/23560	---M--	200	added ('OK')	image/png	etag:%225c08-51d55ab05147a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/mm_logo.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/mm_logo.png	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:24	90241/90241	---M--	200	added ('OK')	image/png	etag:%2216081-51d55aae1021a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/eu_logo.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/eu_logo.png	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:24	7427/7427	---M-Z	200	added ('OK')	text/html	etag:%221d03-51d69e60df800-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/ch01s02.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/ch01s02.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:24	2073822/2073822	---M--	200	added ('OK')	image/png	etag:%221fa4de-51d55ab035efa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/kmitt_logo.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/kmitt_logo.png	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:24	4032/4032	---M-Z	200	added ('OK')	text/html	etag:%22fc0-51d69e60df800-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/ch01s03.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/ch01s03.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
